stock_code,description,category,unit_price
85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,General,0.97915
79323P,PINK CHERRY LIGHTS,General,0.4561290322580645
79323W, WHITE CHERRY LIGHTS,General,0.21
22041,"RECORD FRAME 7"" SINGLE SIZE ",General,0.2351898734177215
21232,STRAWBERRY CERAMIC TRINKET BOX,General,0.9315469613259668
22064,PINK DOUGHNUT TRINKET POT ,General,0.7457947019867549
21871,SAVE THE PLANET MUG,General,1.244915254237288
21523,FANCY FONT HOME SWEET HOME DOORMAT,General,1.414633431085044
22350,CAT BOWL ,General,0.4332142857142856
22349,"DOG BOWL , CHASING BALL DESIGN",General,1.866642599277978
22195,HEART MEASURING SPOONS LARGE,General,0.0
22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,General,0.2796428571428571
48173C,DOOR MAT BLACK FLOCK ,General,0.3531111111111111
21755,LOVE BUILDING BLOCK WORD,General,0.9869313725490196
21754,HOME BUILDING BLOCK WORD,General,1.1390220820189274
84879,ASSORTED COLOUR BIRD ORNAMENT,General,0.1555172413793103
22119, PEACE WOODEN BLOCK LETTERS,General,0.0999999999999999
22142,CHRISTMAS CRAFT WHITE FAIRY ,General,0.2095726495726495
22296,HEART IVORY TRELLIS LARGE,General,0.2094252873563218
22295,HEART FILIGREE DOVE LARGE,General,0.3952577319587628
22109,FULL ENGLISH BREAKFAST PLATE,General,0.4594285714285713
22107,PIZZA PLATE IN BOX,General,0.8405454545454545
22194,BLACK DINER WALL CLOCK,General,0.1105263157894736
35004B,SET OF 3 BLACK FLYING DUCKS,General,0.2717647058823529
82582,AREA PATROLLED METAL SIGN,General,0.15
21181,PLEASE ONE PERSON  METAL SIGN,General,0.0483116883116883
21756,BATH BUILDING BLOCK WORD,General,0.9113043478260868
21333,CLASSIC WHITE FRAME,General,0.8754285714285713
84596F,SMALL MARSHMALLOWS PINK BOWL,General,0.3999065420560747
84596L,BISCUITS SMALL BOWL LIGHT BLUE,General,0.3491428571428571
22111,SCOTTIE DOG HOT WATER BOTTLE,General,0.3555555555555555
22143,CHRISTMAS CRAFT HEART DECORATIONS,General,0.2883333333333333
22145,CHRISTMAS CRAFT HEART STOCKING ,General,0.5425641025641026
22130,PARTY CONE CHRISTMAS DECORATION ,General,0.1361538461538461
21364,PEACE SMALL WOOD LETTERS,General,0.1725
21360,JOY LARGE WOOD LETTERS,General,0.9177777777777778
21351,CINAMMON & ORANGE WREATH,General,0.0
21352,EUCALYPTUS & PINECONE  WREATH,General,0.0
35400,WOODEN BOX ADVENT CALENDAR ,General,2.15
20695,FLORAL BLUE MONSTER,General,0.0
37370,RETRO COFFEE MUGS ASSORTED,General,0.0
10002,INFLATABLE POLITICAL GLOBE ,General,1.47375
84507B,STRIPES DESIGN MONKEY DOLL,General,0.4875
20703,BLUE PADDED SOFT MOBILE,General,0.2176086956521739
21987,PACK OF 6 SKULL PAPER CUPS,General,0.5034653465346535
21989,PACK OF 20 SKULL PAPER NAPKINS,General,0.5606923076923077
84970S,HANGING HEART ZINC T-LIGHT HOLDER,General,1.6062068965517242
20971,PINK BLUE FELT CRAFT TRINKET BOX,General,0.3075454545454545
22271,FELTCRAFT DOLL ROSIE,General,0.3058088235294117
22272,FELTCRAFT DOLL MARIA,General,0.2954515599343185
22274,FELTCRAFT DOLL EMILY,General,0.3105645161290322
21912,VINTAGE SNAKES & LADDERS,General,2.535
22112,CHOCOLATE HOT WATER BOTTLE,General,0.0
21329,DINOSAURS  WRITING SET ,General,1.154
21252,SET OF MEADOW  FLOWER STICKERS,General,0.0
21100,CHARLIE AND LOLA CHARLOTTE BAG,General,0.1458333333333333
21033,JUMBO BAG CHARLIE AND LOLA TOYS,General,0.2696153846153846
20711,JUMBO BAG TOYS ,General,0.6576190476190477
