customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,cluster
12346,325,12,77556.46,2,4,4,244,At-Risk High Value,0
12347,1,8,4921.53,4,4,4,444,Champions,0
12348,74,5,2019.4,3,3,3,333,Champions,0
12349,18,4,4428.69,4,3,4,434,Champions,0
12350,309,1,334.4,2,1,1,211,Hibernating / Lost,1
12351,374,1,300.93,2,1,1,211,Hibernating / Lost,1
12352,35,10,2849.84,3,4,4,344,Champions,0
12353,203,2,406.76,2,2,2,222,Hibernating / Lost,0
12354,231,1,1079.4,2,1,3,213,Hibernating / Lost,0
12355,213,2,947.61,2,2,3,223,Hibernating / Lost,0
12356,22,6,6371.73,4,3,4,434,Champions,0
12357,32,3,18287.66,3,2,4,324,Loyal Customers,0
12358,1,5,3887.07,4,3,4,434,Champions,0
12359,57,10,8873.39,3,4,4,344,Champions,0
12360,51,8,4252.89,3,4,4,344,Champions,0
12361,286,4,511.25,2,3,2,232,Needs Attention,1
12362,2,11,5356.23,4,4,4,444,Champions,0
12363,109,2,552.0,2,2,2,222,Hibernating / Lost,0
12364,7,4,1313.1,4,3,3,433,Champions,0
12365,290,2,641.38,2,2,2,222,Hibernating / Lost,1
12366,633,1,500.24,1,1,2,112,Hibernating / Lost,1
12367,3,1,168.9,4,1,1,411,Recent / New Customers,0
12368,627,1,917.7,1,1,3,113,Hibernating / Lost,1
12369,412,3,1791.1499999999999,1,2,3,123,Hibernating / Lost,1
12370,50,7,4316.5599999999995,3,3,4,334,Champions,0
12371,44,5,4067.38,3,3,4,334,Champions,0
12372,71,3,1298.04,3,2,3,323,Loyal Customers,0
12373,310,3,1127.65,2,2,3,223,Hibernating / Lost,1
12374,24,4,2989.22,4,3,4,434,Champions,0
12375,10,2,457.5,4,2,2,422,Loyal Customers,0
12376,389,2,503.15,1,2,2,122,Hibernating / Lost,1
12377,314,4,3426.32,2,3,4,234,At-Risk High Value,1
12378,129,2,5416.32,2,2,4,224,Hibernating / Lost,0
12379,81,4,1620.22,3,3,3,333,Champions,0
12380,21,11,9676.3,4,4,4,444,Champions,0
12381,4,5,1845.31,4,3,3,433,Champions,0
12383,184,5,1850.56,2,3,3,233,At-Risk High Value,0
12384,28,2,585.27,3,2,2,322,Loyal Customers,0
12385,378,1,1938.4,2,1,3,213,Hibernating / Lost,1
12386,337,2,401.9,2,2,2,222,Hibernating / Lost,1
12387,414,1,143.94,1,1,1,111,Hibernating / Lost,1
12388,15,8,3901.11,4,4,4,444,Champions,0
12389,402,3,1433.33,1,2,3,123,Hibernating / Lost,1
12390,79,1,549.84,3,1,2,312,Recent / New Customers,0
12391,21,6,2724.84,4,3,4,434,Champions,0
12392,590,1,234.75,1,1,1,111,Hibernating / Lost,1
12393,71,6,2399.45,3,3,4,334,Champions,0
12394,63,2,1272.48,3,2,3,323,Loyal Customers,0
12395,18,15,4721.17,4,4,4,444,Champions,0
12396,673,1,931.43,1,1,3,113,Hibernating / Lost,1
12397,35,2,2409.9,3,2,4,324,Loyal Customers,0
12398,45,1,1635.6599999999999,3,1,3,313,Recent / New Customers,0
12399,118,7,1962.3,2,3,3,233,At-Risk High Value,0
12400,413,1,205.25,1,1,1,111,Hibernating / Lost,1
12401,302,1,84.3,2,1,1,211,Hibernating / Lost,1
12402,322,6,1256.9,2,3,3,233,At-Risk High Value,1
12403,49,2,1019.36,3,2,3,323,Loyal Customers,0
12404,681,1,63.24,1,1,1,111,Hibernating / Lost,1
12405,148,1,1710.3899999999999,2,1,3,213,Hibernating / Lost,0
12406,21,5,6390.36,4,3,4,434,Champions,0
12407,49,5,1708.12,3,3,3,333,Champions,0
12408,32,8,4340.77,3,4,4,344,Champions,0
12409,78,7,23419.29,3,3,4,334,Champions,0
12410,308,3,1013.71,2,2,3,223,Hibernating / Lost,1
